Run,Total.(s),Transfer.(s),WithoutTransfer.(s),CC
1,2.06001,1.17493,0.885086,0.992844
2,2.00868,1.09981,0.908873,0.992844
3,2.01761,1.13347,0.88414,0.992844
4,2.00855,1.12051,0.888035,0.992844
5,1.98414,1.10519,0.878942,0.992844
6,2.02399,1.1252,0.898789,0.992844
7,2.01925,1.11635,0.902899,0.992844
8,1.98991,1.10435,0.885562,0.992844
9,2.01373,1.11652,0.897205,0.992844
10,2.00136,1.08071,0.920654,0.992844
11,1.97871,1.10888,0.869825,0.992844
12,2.02341,1.12876,0.894654,0.992844
13,2.05901,1.14803,0.910972,0.992844
14,2.02699,1.1234,0.903595,0.992844
15,2.02352,1.11315,0.910371,0.992844
