Run,Total.(s),Transfer.(s),WithoutTransfer.(s),CC
1,0.828296,0.586043,0.242253,0.984205
2,0.814759,0.574127,0.240632,0.984205
3,0.805247,0.566555,0.238692,0.984205
4,0.824002,0.580578,0.243424,0.984205
5,0.839797,0.583769,0.256028,0.984205
6,0.814533,0.561418,0.253115,0.984205
7,0.853473,0.603456,0.250017,0.984205
8,0.811358,0.564466,0.246892,0.984205
9,0.842279,0.598672,0.243607,0.984205
10,0.832904,0.572908,0.259996,0.984205
11,0.878623,0.618675,0.259948,0.984205
12,0.835484,0.591993,0.243491,0.984205
13,0.813311,0.56916,0.244151,0.984205
14,0.844116,0.592584,0.251532,0.984205
15,0.803686,0.561516,0.24217,0.984205
