Run, Total.(s), Transfer.(s), WithoutTransfer.(s), CC
1,6.2552, 2.72701, 3.52819, 0.984205
2,6.07875, 2.79674, 3.28202, 0.984205
3,5.15836, 2.3524, 2.80596, 0.984205
4,5.02113, 2.37628, 2.64485, 0.984205
5,5.37032, 2.39684, 2.97347, 0.984205
6,6.10586, 2.74035, 3.36552, 0.984205
7,5.50706, 2.48403, 3.02303, 0.984205
8,6.2081, 2.7928, 3.41531, 0.984205
9,5.32769, 2.37631, 2.95138, 0.984205
10,6.42091, 2.99402, 3.42688, 0.984205
12,5.61331, 2.51918, 3.09413, 0.984205
13,5.76354, 2.62218, 3.14137, 0.984205
14,4.43701, 2.05695, 2.38007, 0.984205
15,6.97284, 3.08085, 3.89199, 0.984205
16,6.22199, 2.67953, 3.54246, 0.984205
17,5.93224, 2.71638, 3.21586, 0.984205
